Resource Type,Resource Label,Resource Id,Resource Status,Disabled Reason,,
STAGING_AREA,PRSTG-A17,10ba1252-2ef2-3d44-ead3-2881f87285b0,ENABLED,NONE,,
STAGING_AREA,STG-B58,10ba27ad-1da2-ca38-8a21-ab8deb1fee4d,ENABLED,NONE,,
STAGING_AREA,STG-D31,10ba27ad-245b-d4e9-1ad9-d3834939caee,ENABLED,NONE,,
STAGING_AREA,STG-L19,12b989f2-d83e-b95a-6344-99782269afcb,ENABLED,NONE,,
STAGING_AREA,STG-C01,12b989f2-da39-5cbe-2b4f-b17abc4df49a,ENABLED,NONE,,
STAGING_AREA,STG-J20,12b989f2-dad7-9fb4-dcd3-963e51c88f40,ENABLED,NONE,,
STAGING_AREA,PRSTG-B47,12ba1252-308c-bba9-d0a7-e17187ef2474,ENABLED,NONE,,
STAGING_AREA,PRSTG-C52,12ba1252-3163-2124-4cd4-c5e5cf8c047b,ENABLED,NONE,,
STAGING_AREA,PRSTG-D22,12ba1252-31bd-d8eb-fa13-256a3ba3d390,ENABLED,NONE,,
STAGING_AREA,PRSTG-D32,12ba1252-31dc-3519-a048-6d3a644b98e3,ENABLED,NONE,,
STAGING_AREA,STG-D44,12ba27ad-1da7-92f1-4919-b62a1b461657,ENABLED,NONE,,
STAGING_AREA,STG-C57,12ba27ad-243e-48bf-ab62-f4dd51aa6acb,ENABLED,NONE,,
STAGING_AREA,STG-C06,14b989f2-db9f-c263-a33f-c4c2094def20,ENABLED,NONE,,
STAGING_AREA,STG-D03,14b989f2-dc34-3fb0-71c5-afef28c97e48,ENABLED,NONE,,
STAGING_AREA,PRSTG-A21,14ba1252-2f4a-9a2f-8bf7-db9b20ca3094,ENABLED,NONE,,
STAGING_AREA,PRSTG-B23,14ba1252-3012-566e-f367-ec22b5ee4cd1,ENABLED,NONE,,
STAGING_AREA,PRSTG-C33,14ba1252-311d-eb40-2096-33ed39878913,ENABLED,NONE,,
STAGING_AREA,STG-G18,16b989f2-d2bc-f056-4907-166ea8a2a747,ENABLED,NONE,,
STAGING_AREA,STG-C10,16b989f2-d349-a164-4142-63ca120c9cc7,ENABLED,NONE,,
STAGING_AREA,STG-L05,16b989f2-d433-0026-1dae-1f779ec47c0d,ENABLED,NONE,,
STAGING_AREA,PRSTG-A5,16ba1252-2eed-6f47-4780-9eb0ea88d96c,ENABLED,NONE,,
STAGING_AREA,STG-D50,16ba27ad-1f55-a895-9207-eb109ce21a15,ENABLED,NONE,,
STAGING_AREA,STG-G57,16ba27ad-24e6-ee4b-1be2-73ac5c8fb59a,ENABLED,NONE,,
STAGING_AREA,OVER-B15.5,16cc42c4-9165-7064-cf5d-e6d8374c2543,ENABLED,NONE,,
STAGING_AREA,STG-E15,18b989f2-d2ad-cf31-9c6c-dfdb91c74fed,ENABLED,NONE,,
STAGING_AREA,STG-G29,18b989f2-d5f3-2e5e-35ba-047d36b3b4ae,ENABLED,NONE,,
STAGING_AREA,PRSTG-D24,18ba1252-31c5-bf92-3f63-ffe1afcda1f4,ENABLED,NONE,,
STAGING_AREA,STG-E49,18ba27ad-25c7-1871-61d4-163ea716794e,ENABLED,NONE,,
STAGING_AREA,OVER-B28.5,18cc42c4-9107-71ed-bf3f-9ff7a76749b5,ENABLED,NONE,,
STAGING_AREA,STG-H19,1ab989f2-d212-59ec-fb72-ccc798d7b883,ENABLED,NONE,,
STAGING_AREA,STG-K28,1ab989f2-d212-8ab4-c810-ef49ba95090e,ENABLED,NONE,,
STAGING_AREA,STG-G08,1ab989f2-dbd6-660b-8322-037cf2d4bac9,ENABLED,NONE,,
STAGING_AREA,PRSTG-B29,1aba1252-3046-1331-dc4b-b34255a5dd54,ENABLED,NONE,,
STAGING_AREA,PRSTG-C12,1aba1252-30c6-9fc5-d7af-fa7706995c58,ENABLED,NONE,,
STAGING_AREA,HFCR_1,1cb989f2-fda9-d830-0eb5-7d995bec3456,ENABLED,NONE,,
STAGING_AREA,PRSTG-A2,1cba1252-2eee-5b73-6267-3a1f9d9c0856,ENABLED,NONE,,
STAGING_AREA,PRSTG-A1,1cba1252-2ef2-ed36-6587-613d6db8fd38,ENABLED,NONE,,
STAGING_AREA,STG-C32,1cba27ad-1da4-eb06-8776-8f94587a307b,ENABLED,NONE,,
STAGING_AREA,STG-E39,1cba27ad-234b-0b88-c753-410a8ea0a9fd,ENABLED,NONE,,
STAGING_AREA,STG-I28,1eb989f2-d441-0503-8977-3bcb071d26f1,ENABLED,NONE,,
STAGING_AREA,STG-A13,1eb989f2-d5b8-bea3-8c04-4902eb5baae4,ENABLED,NONE,,
STAGING_AREA,STG-C02,1eb989f2-da78-170d-0fb8-2f50259beac6,ENABLED,NONE,,
STAGING_AREA,STG-A44,1eba27ad-1dab-bdb7-e447-d3d98f01798a,ENABLED,NONE,,
STAGING_AREA,STG-B63,1eba27ad-1efd-29e2-3dcc-fc7212fe8899,ENABLED,NONE,,
STAGING_AREA,OVER-A14.5,1ecc42c4-909a-5d2f-aebe-523a39702fb4,ENABLED,NONE,,
STAGING_AREA,STG-L02,20b989f2-d356-2ee3-4961-f0181bd7280e,ENABLED,NONE,,
STAGING_AREA,PRSTG-A14,20ba1252-2eed-9376-82ab-f8c3c958d828,ENABLED,NONE,,
STAGING_AREA,PRSTG-B33,20ba1252-3057-9030-6514-92b0a23ed186,ENABLED,NONE,,
STAGING_AREA,STG-E21,22b989f2-d664-2e8b-0ca9-177b17ab90ab,ENABLED,NONE,,
STAGING_AREA,PRSTG-C8,22ba1252-30b9-66ef-c669-c211b1944615,ENABLED,NONE,,
STAGING_AREA,PRSTG-D6,22ba1252-317d-826b-64d9-fe00d94f3bba,ENABLED,NONE,,
STAGING_AREA,PRSTG-D18,22ba1252-31a3-1380-51b2-1f61331e777d,ENABLED,NONE,,
STAGING_AREA,STG-G38,22ba27ad-2013-80e7-80b3-1d6cfd8c218c,ENABLED,NONE,,
STAGING_AREA,STG-B54,22ba27ad-26e4-474b-4402-8657df382df2,ENABLED,NONE,,
STAGING_AREA,STG-D20,24b989f2-d560-a820-9380-80643ffb5119,ENABLED,NONE,,
STAGING_AREA,STG-K07,24b989f2-d5ea-7850-359a-ad703e726ce2,ENABLED,NONE,,
STAGING_AREA,STG-C15,24b989f2-d6cf-efc9-7d2f-bbaf76dd10f0,ENABLED,NONE,,
STAGING_AREA,PRSTG-A44,24ba1252-2fac-2f1c-f114-f706d3b9c249,ENABLED,NONE,,
STAGING_AREA,STG-B34,24ba27ad-21c3-f3e5-7cfb-62ce63ae3544,ENABLED,NONE,,
STAGING_AREA,STG-C49,24ba27ad-2238-ca9d-7e96-32759f92276f,ENABLED,NONE,,
STAGING_AREA,STG-E48,24ba27ad-2589-3027-fe1e-3a38d215ceba,ENABLED,NONE,,
STAGING_AREA,STG-K17,26b989f2-d8da-23f7-3c82-25a414dea9b0,ENABLED,NONE,,
STAGING_AREA,STG-A24,26b989f2-d8fa-53e4-aa5c-1872a75daa37,ENABLED,NONE,,
STAGING_AREA,PRSTG-B1,26ba1252-2fba-05a6-fa04-a450841c81a7,ENABLED,NONE,,
STAGING_AREA,PRSTG-B25,26ba1252-301d-8119-e14b-2bd5691563ae,ENABLED,NONE,,
STAGING_AREA,STG-D52,26ba27ad-1fd5-8120-799f-739e6a9b09e0,ENABLED,NONE,,
STAGING_AREA,STG-E45,26ba27ad-24c9-245d-2768-38f6560990fd,ENABLED,NONE,,
STAGING_AREA,OVER-D5.5,26cc42c4-91e8-36f8-1bea-a9535156fb4d,ENABLED,NONE,,
STAGING_AREA,STG-H27,28b989f2-d4d5-e3c4-173a-626d6711efff,ENABLED,NONE,,
STAGING_AREA,STG-J04,28b989f2-d611-7a47-6a5b-147a17efa2bc,ENABLED,NONE,,
STAGING_AREA,STG-J11,28b989f2-d82d-77e2-6f8a-7f20e9970f8d,ENABLED,NONE,,
STAGING_AREA,STG-L25,28b989f2-da13-c31f-e89b-8062e1d79fbd,ENABLED,NONE,,
STAGING_AREA,PRSTG-A30,28ba1252-2f60-ca22-3bbe-f8afef381eb7,ENABLED,NONE,,
STAGING_AREA,PRSTG-B26,28ba1252-3030-c135-13bd-38020b03b6b3,ENABLED,NONE,,
STAGING_AREA,PRSTG-C9,28ba1252-30b9-52e2-695d-a49460b00a3e,ENABLED,NONE,,
STAGING_AREA,STG-E60,28ba27ad-1eb4-2ac0-eb0b-1e09f362f7a8,ENABLED,NONE,,
STAGING_AREA,STG-D65,28ba27ad-232c-331d-f1e4-5e4b0da958e8,ENABLED,NONE,,
STAGING_AREA,STG-D33,28ba27ad-24f4-6a59-748b-3b888bed2f16,ENABLED,NONE,,
STAGING_AREA,STG-A39,28ba27ad-2646-40d2-53b9-8b1c1eec6042,ENABLED,NONE,,
STAGING_AREA,STG-G63,28ba27ad-26a0-4af6-3996-0c401f0bf1b0,ENABLED,NONE,,
STAGING_AREA,STG-E27,2ab989f2-d842-11bc-4d5a-9e368be6658b,ENABLED,NONE,,
STAGING_AREA,STG-D05,2ab989f2-dccd-56d8-d488-c34c183628df,ENABLED,NONE,,
STAGING_AREA,DST,2ab989f2-fd97-12ee-cd00-57402bbedad7,ENABLED,NONE,,
STAGING_AREA,STG-G39,2aba27ad-2051-6e06-42d0-cd41943a03d9,ENABLED,NONE,,
STAGING_AREA,STG-C64,2aba27ad-261f-4dbd-2937-f13288a5a248,ENABLED,NONE,,
STAGING_AREA,STG-G62,2aba27ad-2665-71a7-d289-2ed3a56d165a,ENABLED,NONE,,
STAGING_AREA,STG-C66,2aba27ad-2699-0fdf-2015-eb0567a9f718,ENABLED,NONE,,
STAGING_AREA,STG-G64,2aba27ad-26dd-bfc5-02b7-a484dabad78a,ENABLED,NONE,,
STAGING_AREA,STG-I23,2cb989f2-d265-6044-f333-0fd89090748c,ENABLED,NONE,,
STAGING_AREA,STG-H28,2cb989f2-d519-c983-b3b5-c2753ce72118,ENABLED,NONE,,
STAGING_AREA,PRSTG-D29,2cba1252-31d6-0f5c-3678-e9225ada5ae8,ENABLED,NONE,,
STAGING_AREA,STG-C39,2cba27ad-1f9e-45fc-cea1-63d3d814d59b,ENABLED,NONE,,
STAGING_AREA,STG-B38,2cba27ad-22d8-0472-34d9-e8a0286f0e68,ENABLED,NONE,,
STAGING_AREA,STG-G24,2eb989f2-d46f-199b-8279-39fdc6c79e6b,ENABLED,NONE,,
STAGING_AREA,STG-E40,2eba27ad-238a-802e-e39d-40f462050a9a,ENABLED,NONE,,
STAGING_AREA,OVER-A3.5,2ecc42c4-9047-6e40-8000-4b4b3b0dae13,ENABLED,NONE,,
STAGING_AREA,OVER-G12.5,2ecc42c4-92ed-4a1d-73a5-2b86dacc3dc7,ENABLED,NONE,,
STAGING_AREA,STG-J27,30b989f2-d2bc-59a3-18a5-52aaf6b8968b,ENABLED,NONE,,
STAGING_AREA,STG-J08,30b989f2-d735-8d16-284a-ce9fa6f42f68,ENABLED,NONE,,
STAGING_AREA,STG-E02,30b989f2-d8fd-9c16-b6b9-800a2cef8dab,ENABLED,NONE,,
STAGING_AREA,STG-K20,30b989f2-d9ac-e528-0403-28714f3f244f,ENABLED,NONE,,
STAGING_AREA,PRSTG-B45,30ba1252-3076-d0d4-38ce-3319bb2230e7,ENABLED,NONE,,
STAGING_AREA,PRSTG-C42,30ba1252-313d-a38f-f1df-0a5f82fefcf1,ENABLED,NONE,,
STAGING_AREA,STG-A37,30ba27ad-25bf-ca71-7f40-2530c755ef62,ENABLED,NONE,,
STAGING_AREA,STG-D12,32b989f2-d2bd-dd10-0d15-49542fd0f8fc,ENABLED,NONE,,
STAGING_AREA,STG-L14,32b989f2-d6c0-8df3-7df0-418219d12e6e,ENABLED,NONE,,
STAGING_AREA,STG-C26,32b989f2-d9f3-913d-9372-bac1b701b96a,ENABLED,NONE,,
STAGING_AREA,PRSTG-A32,32ba1252-2f61-d50d-1467-09e74916db03,ENABLED,NONE,,
STAGING_AREA,PRSTG-A49,32ba1252-2fb3-dbd5-e2f5-c23f57f38c22,ENABLED,NONE,,
STAGING_AREA,OVER-B5.5,32cc42c4-9046-b0e1-f27a-f03dfb30e2bd,ENABLED,NONE,,
STAGING_AREA,STG-A02,34b989f2-d291-06a5-9924-cccdf01f3a95,ENABLED,NONE,,
STAGING_AREA,STG-H23,34b989f2-d363-dfea-f760-58187c4a9301,ENABLED,NONE,,
STAGING_AREA,STG-A28,34b989f2-da1d-c94c-0d88-34179941cc0a,ENABLED,NONE,,
STAGING_AREA,PRSTG-A24,34ba1252-2f58-fb57-91ae-037c3bbcacd9,ENABLED,NONE,,
STAGING_AREA,PRSTG-B15,34ba1252-3005-7c11-e36a-6644231760a5,ENABLED,NONE,,
STAGING_AREA,STG-D59,34ba27ad-2193-18b8-d194-27a5b31e7a8f,ENABLED,NONE,,
STAGING_AREA,STG-C63,34ba27ad-25e1-a012-2496-2fb37e685812,ENABLED,NONE,,
STAGING_AREA,OVER-D28.5,34cc42c4-9154-b4d3-9c01-d842b58a3ce0,ENABLED,NONE,,
STAGING_AREA,STG-J25,36b989f2-d212-c565-dac3-b97277212733,ENABLED,NONE,,
STAGING_AREA,STG-H22,36b989f2-d320-66f6-fe8e-e1d90e7b0c05,ENABLED,NONE,,
STAGING_AREA,STG-B19,36b989f2-d6b5-6a28-866b-0fd29f3e7b01,ENABLED,NONE,,
STAGING_AREA,STG-I11,36b989f2-d8e6-5ae2-78c0-a21be1fad2f8,ENABLED,NONE,,
STAGING_AREA,PRSTG-A42,36ba1252-2fa6-76da-1433-299c7e806b3d,ENABLED,NONE,,
STAGING_AREA,PRSTG-B46,36ba1252-3089-e3d9-d1ad-9630659ad113,ENABLED,NONE,,
STAGING_AREA,PRSTG-C45,36ba1252-3141-f9f8-5028-7ea4dfbb051d,ENABLED,NONE,,
STAGING_AREA,PRSTG-D12,36ba1252-318d-9868-405b-9d7176c72a8b,ENABLED,NONE,,
STAGING_AREA,STG-E44,36ba27ad-2485-eddb-32e8-a9435752c333,ENABLED,NONE,,
STAGING_AREA,STG-G22,38b989f2-d3e7-bb34-308c-66ad721e63e1,ENABLED,NONE,,
STAGING_AREA,STG-E20,38b989f2-d61b-3550-827b-0857b9a25f9a,ENABLED,NONE,,
STAGING_AREA,STG-B18,38b989f2-d663-3828-426b-1b94d6fe4b0a,ENABLED,NONE,,
STAGING_AREA,STG-H13,38b989f2-da1a-292f-213e-a55264b3de10,ENABLED,NONE,,
STAGING_AREA,PRSTG-A27,38ba1252-2f5c-175e-cf57-250213c661b7,ENABLED,NONE,,
STAGING_AREA,PRSTG-C44,38ba1252-313f-9303-8dec-cf1d0abd5d1f,ENABLED,NONE,,
STAGING_AREA,STG-B66,38ba27ad-1fc2-b161-76e8-a82ae6204d7e,ENABLED,NONE,,
STAGING_AREA,STG-K03,3ab989f2-d4bd-a2fe-cf11-a6b95f374f44,ENABLED,NONE,,
STAGING_AREA,STG-L12,3ab989f2-d616-ad27-9ea0-f301da01c7e5,ENABLED,NONE,,
STAGING_AREA,STG-L24,3ab989f2-d9cc-cfc7-66e9-e62e061befae,ENABLED,NONE,,
STAGING_AREA,STG-G34,3aba27ad-1efd-3982-f8a3-888fc1c417b1,ENABLED,NONE,,
STAGING_AREA,STG-B64,3aba27ad-1f49-c28f-7ba5-ba9639722563,ENABLED,NONE,,
